count,coordinates,valname
8105,"[-73.963839, 40.815504]",C275
8102,"[-73.97214, 40.743161]",C276
8089,"[-73.994156, 40.771661]",C277
8079,"[-73.991563, 40.749706]",C278
8070,"[-73.92964, 40.786545]",C279
8068,"[-73.819415, 40.70809]",C280
8050,"[-73.974024, 40.731721]",C281
8044,"[-73.923666, 40.735533]",C282
8043,"[-73.97149, 40.78188]",C283
8000,"[-73.982957, 40.747765]",C284
8000,"[-73.958528, 40.789954]",C285
7962,"[-73.960169, 40.790395]",C286
7961,"[-73.974864, 40.737022]",C287
7955,"[-73.955999, 40.767804]",C288
7953,"[-73.97726, 40.719393]",C289
7948,"[-73.972739, 40.745585]",C290
7945,"[-73.919612, 40.797223]",C291
7941,"[-73.972249, 40.76885]",C292
7936,"[-73.974063, 40.800963]",C293
7936,"[-73.832503, 40.72707]",C294
7931,"[-73.96936, 40.771752]",C295
7901,"[-73.99151, 40.731665]",C296
7880,"[-73.802106, 40.663632]",C297
7865,"[-73.886516, 40.728106]",C298
7855,"[-73.880121, 40.728958]",C299
7846,"[-73.983908, 40.785783]",C300
7845,"[-73.906852, 40.736918]",C301
7821,"[-73.955044, 40.773338]",C302
7789,"[-73.971878, 40.72671]",C303
7751,"[-73.99538, 40.725032]",C304
7751,"[-73.968178, 40.747958]",C305
7750,"[-74.00945, 40.702073]",C306
7748,"[-74.005127, 40.740851]",C307
7744,"[-73.826288, 40.715628]",C308
7734,"[-73.962322, 40.754777]",C309
7730,"[-73.943931, 40.78269]",C310
7725,"[-73.943898, 40.779724]",C311
7719,"[-73.806581, 40.652943]",C312
7708,"[-73.967848, 40.784818]",C313
7686,"[-73.977327, 40.745392]",C314
7676,"[-73.971385, 40.781594]",C315
7664,"[-73.994217, 40.771509]",C316
7647,"[-73.97608, 40.796381]",C317
7646,"[-73.942498, 40.776782]",C318
7618,"[-73.975645, 40.797197]",C319
7612,"[-73.986824, 40.751088]",C320
7568,"[-73.964514, 40.7916]",C321
7567,"[-73.9971, 40.725462]",C322
7536,"[-73.964121, 40.783364]",C323
7525,"[-73.929757, 40.795412]",C324
7502,"[-73.977666, 40.752202]",C325
7474,"[-73.944028, 40.783034]",C326
7473,"[-73.921789, 40.79703]",C327
7471,"[-73.972018, 40.729423]",C328
7466,"[-73.916998, 40.735462]",C329
7461,"[-73.991069, 40.730045]",C330
7438,"[-73.982878, 40.766716]",C331
7421,"[-74.005038, 40.741319]",C332
7412,"[-73.993607, 40.736013]",C333
7410,"[-73.948907, 40.836953]",C334
7380,"[-73.990784, 40.73469]",C335
7375,"[-73.923209, 40.734139]",C336
7372,"[-74.011285, 40.72521]",C337
7363,"[-73.806237, 40.652363]",C338
7333,"[-73.917015, 40.770338]",C339
7326,"[-73.976928, 40.752191]",C340
7321,"[-73.979751, 40.768526]",C341
7224,"[-73.806872, 40.658627]",C342
7213,"[-74.015471, 40.701253]",C343
7189,"[-73.996993, 40.725585]",C344
7176,"[-73.963361, 40.782086]",C345
7165,"[-73.956086, 40.761127]",C346
7155,"[-73.973635, 40.769893]",C347
7152,"[-73.782293, 40.646833]",C348
7144,"[-74.006993, 40.753889]",C349
7135,"[-73.871658, 40.771497]",C350
7115,"[-73.865671, 40.769189]",C351
7059,"[-73.957979, 40.759784]",C352
7058,"[-73.959493, 40.817007]",C353
7032,"[-73.984746, 40.785849]",C354
7019,"[-73.929376, 40.799376]",C355
7017,"[-73.979966, 40.769151]",C356
7010,"[-73.990617, 40.751]",C357
7010,"[-73.974702, 40.736611]",C358
7004,"[-73.956053, 40.788021]",C359
6989,"[-73.944111, 40.782919]",C360
6964,"[-73.9899, 40.734447]",C361
6925,"[-73.975047, 40.735716]",C362
6910,"[-73.972001, 40.726721]",C363
6906,"[-73.96852, 40.754877]",C364
6902,"[-73.988708, 40.748504]",C365
6889,"[-73.922233, 40.733966]",C366
6880,"[-73.977247, 40.719251]",C367
6865,"[-73.979332, 40.793441]",C368
6859,"[-73.957834, 40.742059]",C369
6855,"[-73.980036, 40.765521]",C370
6840,"[-73.950437, 40.771402]",C371
6824,"[-73.981848, 40.766287]",C372
6800,"[-73.875284, 40.773693]",C373
6797,"[-73.964828, 40.75191]",C374
6788,"[-73.866312, 40.77115]",C375
6782,"[-74.009589, 40.702112]",C376
6765,"[-73.948245, 40.769526]",C377
6755,"[-73.979724, 40.746402]",C378
6754,"[-73.969132, 40.760929]",C379
6746,"[-73.945228, 40.740744]",C380
6732,"[-74.013214, 40.715219]",C381
6730,"[-73.801724, 40.674292]",C382
6728,"[-73.970638, 40.761572]",C383
6721,"[-73.954785, 40.762266]",C384
6717,"[-74.002773, 40.739366]",C385
6679,"[-73.985718, 40.767916]",C386
6678,"[-73.905252, 40.726597]",C387
6669,"[-73.969349, 40.785303]",C388
6664,"[-73.907402, 40.736762]",C389
6654,"[-73.989157, 40.747896]",C390
6649,"[-74.006924, 40.754013]",C391
6642,"[-73.97546, 40.775953]",C392
6588,"[-73.987984, 40.740884]",C393
6550,"[-73.971961, 40.746189]",C394
6543,"[-73.894817, 40.744569]",C395
6542,"[-73.990904, 40.724185]",C396
6541,"[-74.001657, 40.709492]",C397
6536,"[-73.973734, 40.769913]",C398
6527,"[-73.953748, 40.766859]",C399
6507,"[-73.980888, 40.753481]",C400
6447,"[-73.958892, 40.774972]",C401
6434,"[-73.971173, 40.744687]",C402
6426,"[-73.919722, 40.79646]",C403
6425,"[-73.944166, 40.780001]",C404
6376,"[-73.974083, 40.731129]",C405
6359,"[-73.838726, 40.74183]",C406
6329,"[-73.953249, 40.767541]",C407
6319,"[-73.969032, 40.785155]",C408
6308,"[-73.981651, 40.790306]",C409
6295,"[-73.930626, 40.726197]",C410
6287,"[-73.963683, 40.771046]",C411
6258,"[-73.992006, 40.749101]",C412
6254,"[-73.91701, 40.770204]",C413
6252,"[-73.988561, 40.769118]",C414
6240,"[-73.962782, 40.78153]",C415
6151,"[-73.965372, 40.751825]",C416
6147,"[-73.954236, 40.762795]",C417
6144,"[-73.971305, 40.744349]",C418
6129,"[-73.99364, 40.727289]",C419
6124,"[-73.979987, 40.769082]",C420
6118,"[-73.964707, 40.791674]",C421
6114,"[-73.952677, 40.772346]",C422
6112,"[-73.992525, 40.753478]",C423
6098,"[-73.97822, 40.711749]",C424
6063,"[-73.95416, 40.787231]",C425
6051,"[-73.975259, 40.755272]",C426
6027,"[-73.978627, 40.767529]",C427
6014,"[-73.844708, 40.741608]",C428
6005,"[-73.970857, 40.745107]",C429
6001,"[-73.968978, 40.754251]",C430
5969,"[-73.94262, 40.776779]",C431
5939,"[-73.969689, 40.748781]",C432
5935,"[-73.974461, 40.732758]",C433
5931,"[-73.894357, 40.76612]",C434
5901,"[-73.968473, 40.747955]",C435
5901,"[-73.978595, 40.772356]",C436
5884,"[-73.995992, 40.767986]",C437
5877,"[-73.805782, 40.651666]",C438
5877,"[-73.974689, 40.745961]",C439
5874,"[-73.985281, 40.783606]",C440
5871,"[-74.010767, 40.729134]",C441
5870,"[-73.967039, 40.772461]",C442
5854,"[-73.844836, 40.740584]",C443
5854,"[-74.002926, 40.739174]",C444
5852,"[-73.895616, 40.74355]",C445
5851,"[-73.865761, 40.769174]",C446
5834,"[-73.942697, 40.775176]",C447
5816,"[-73.962062, 40.791455]",C448
5811,"[-73.878497, 40.77092]",C449
5809,"[-73.977908, 40.712087]",C450
5808,"[-73.929646, 40.795577]",C451
5808,"[-73.944809, 40.740634]",C452
5803,"[-73.975683, 40.798942]",C453
5707,"[-73.894462, 40.766006]",C454
5685,"[-73.947078, 40.784269]",C455
5684,"[-73.900871, 40.739381]",C456
5681,"[-74.011586, 40.690627]",C457
5679,"[-74.007628, 40.74846]",C458
5666,"[-73.998779, 40.763843]",C459
5664,"[-73.975087, 40.736572]",C460
5656,"[-73.780828, 40.647838]",C461
5655,"[-73.96847, 40.748016]",C462
5654,"[-73.991057, 40.723599]",C463
5651,"[-73.984941, 40.732347]",C464
5650,"[-73.97582, 40.753732]",C465
5621,"[-73.970031, 40.768729]",C466
5616,"[-74.00305, 40.733221]",C467
5613,"[-73.980883, 40.759274]",C468
5610,"[-73.967529, 40.792858]",C469
5610,"[-73.99927, 40.763594]",C470
5606,"[-73.897033, 40.750172]",C471
5594,"[-73.948064, 40.769881]",C472
5591,"[-73.907358, 40.736659]",C473
5587,"[-73.865999, 40.771199]",C474
5585,"[-73.991545, 40.727095]",C475
5558,"[-73.972079, 40.726444]",C476
5552,"[-73.962151, 40.776324]",C477
5547,"[-74.015359, 40.701848]",C478
5534,"[-73.971252, 40.780081]",C479
5531,"[-73.892511, 40.766287]",C480
5528,"[-73.989161, 40.776834]",C481
5526,"[-73.992631, 40.75843]",C482
5504,"[-73.961375, 40.780223]",C483
5502,"[-74.004554, 40.742125]",C484
5499,"[-73.975403, 40.774647]",C485
5493,"[-73.97879, 40.777418]",C486
5490,"[-74.013553, 40.715273]",C487
5487,"[-73.939138, 40.723329]",C488
5487,"[-73.884668, 40.767864]",C489
5481,"[-73.801021, 40.646361]",C490
5462,"[-74.008688, 40.742352]",C491
5454,"[-73.975509, 40.776019]",C492
5454,"[-73.944816, 40.772816]",C493
5440,"[-73.973169, 40.77386]",C494
5416,"[-73.974542, 40.783243]",C495
5390,"[-73.974347, 40.756523]",C496
5349,"[-73.986305, 40.740165]",C497
5340,"[-73.894932, 40.744318]",C498
5338,"[-73.967206, 40.747222]",C499
5322,"[-73.994671, 40.769561]",C500
5316,"[-73.97801, 40.752537]",C501
5314,"[-73.973379, 40.745695]",C502
5314,"[-73.931162, 40.800731]",C503
5305,"[-73.962211, 40.770425]",C504
5303,"[-73.952776, 40.768181]",C505
5296,"[-73.948072, 40.770417]",C506
5292,"[-73.92313, 40.734832]",C507
5280,"[-73.960072, 40.790354]",C508
5261,"[-73.944132, 40.780086]",C509
5237,"[-73.994903, 40.769626]",C510
5206,"[-73.935705, 40.791554]",C511
5204,"[-73.971236, 40.744513]",C512
5203,"[-73.987003, 40.780725]",C513
5193,"[-73.986793, 40.739494]",C514
5179,"[-73.982712, 40.756771]",C515
5177,"[-73.968114, 40.747669]",C516
5173,"[-73.891525, 40.725717]",C517
5171,"[-73.991506, 40.729787]",C518
5168,"[-73.996661, 40.723467]",C519
5149,"[-73.965292, 40.75931]",C520
5144,"[-73.982122, 40.773833]",C521
5133,"[-73.978514, 40.736873]",C522
5130,"[-73.976906, 40.772124]",C523
5117,"[-73.852927, 40.758449]",C524
5114,"[-73.899567, 40.758738]",C525
5111,"[-73.989352, 40.740583]",C526
5109,"[-73.97449, 40.769802]",C527
5089,"[-73.891155, 40.766192]",C528
5083,"[-73.894067, 40.766345]",C529
5056,"[-73.979861, 40.74895]",C530
5048,"[-73.943702, 40.783088]",C531
5040,"[-73.989443, 40.736065]",C532
5030,"[-73.988386, 40.75916]",C533
5028,"[-73.980418, 40.759911]",C534
4996,"[-74.007928, 40.742541]",C535
4995,"[-73.893579, 40.766524]",C536
4984,"[-73.978329, 40.783153]",C537
4980,"[-74.000503, 40.708802]",C538
4969,"[-73.960919, 40.780856]",C539
4965,"[-73.980353, 40.730428]",C540
4955,"[-73.980084, 40.783893]",C541
4948,"[-73.987091, 40.781083]",C542
4941,"[-73.984262, 40.785642]",C543
4937,"[-73.992079, 40.754091]",C544
4927,"[-73.963917, 40.771144]",C545
4927,"[-73.979057, 40.761771]",C546
4923,"[-74.010784, 40.726774]",C547
4914,"[-73.940007, 40.722851]",C548
4913,"[-73.995285, 40.725151]",C549
4909,"[-73.986264, 40.72228]",C550
4902,"[-73.977201, 40.758538]",C551
4894,"[-73.981898, 40.778256]",C552
4886,"[-73.852383, 40.75353]",C553
4884,"[-73.846502, 40.743364]",C554
4882,"[-73.91849, 40.731841]",C555
4880,"[-73.981307, 40.790865]",C556
4879,"[-73.979938, 40.754782]",C557
4841,"[-74.001534, 40.761847]",C558
4825,"[-73.944441, 40.781808]",C559
4823,"[-73.942441, 40.776287]",C560
4822,"[-73.98266, 40.784976]",C561
4815,"[-73.979286, 40.752802]",C562
4813,"[-73.926431, 40.799692]",C563
4812,"[-73.974542, 40.756605]",C564
4796,"[-73.955447, 40.741396]",C565
4785,"[-73.931335, 40.725731]",C566
4782,"[-73.971758, 40.743343]",C567
4779,"[-73.807292, 40.657227]",C568
4775,"[-73.989902, 40.729558]",C569
4774,"[-73.974027, 40.77454]",C570
4774,"[-73.974244, 40.769894]",C571
4773,"[-74.015407, 40.701911]",C572
4773,"[-73.974899, 40.736746]",C573
4766,"[-73.990681, 40.689135]",C574
4764,"[-73.973625, 40.764577]",C575
4761,"[-73.972184, 40.746052]",C576
4759,"[-73.981523, 40.768582]",C577
4759,"[-73.992805, 40.742901]",C578
4756,"[-73.981479, 40.767854]",C579
4753,"[-73.950926, 40.785867]",C580
4750,"[-73.98117, 40.78435]",C581
4744,"[-73.975824, 40.753987]",C582
4730,"[-73.999523, 40.733663]",C583
4728,"[-73.956956, 40.760643]",C584
4723,"[-73.998485, 40.745295]",C585
4709,"[-73.895141, 40.744018]",C586
4706,"[-74.001205, 40.733843]",C587
4704,"[-73.852227, 40.753111]",C588
4699,"[-73.975948, 40.74687]",C589
4690,"[-73.98325, 40.761095]",C590
4681,"[-73.980775, 40.79195]",C591
4679,"[-73.967212, 40.810554]",C592
4675,"[-73.997144, 40.766122]",C593
4675,"[-73.97814, 40.763023]",C594
4666,"[-73.899721, 40.757466]",C595
4644,"[-73.99894, 40.734136]",C596
4643,"[-73.978728, 40.772417]",C597
4640,"[-73.963423, 40.782163]",C598
4630,"[-73.9747, 40.7987]",C599
4626,"[-73.981775, 40.746504]",C600
4620,"[-73.96038, 40.775574]",C601
4614,"[-73.981174, 40.767771]",C602
4613,"[-73.976188, 40.765911]",C603
4603,"[-74.012759, 40.717114]",C604
4600,"[-73.982303, 40.789501]",C605
4600,"[-73.956401, 40.78884]",C606
4599,"[-74.00697, 40.741628]",C607
4592,"[-73.964903, 40.751979]",C608
4592,"[-73.991402, 40.770319]",C609
4588,"[-73.895501, 40.743477]",C610
4587,"[-73.994117, 40.720346]",C611
4579,"[-73.947122, 40.775929]",C612
4573,"[-73.989065, 40.692283]",C613
4569,"[-73.967858, 40.751328]",C614
4566,"[-73.88405, 40.768105]",C615
4550,"[-73.969305, 40.773452]",C616
4549,"[-74.005817, 40.736531]",C617
4539,"[-74.004168, 40.74769]",C618
4526,"[-73.991462, 40.731745]",C619
4518,"[-73.98998, 40.735375]",C620
4511,"[-73.920225, 40.73513]",C621
4504,"[-73.986335, 40.722162]",C622
4503,"[-73.955624, 40.764296]",C623
4502,"[-73.97378, 40.738358]",C624
4500,"[-73.939706, 40.785855]",C625
4500,"[-73.973542, 40.746059]",C626
4497,"[-73.975483, 40.781952]",C627
4491,"[-73.963121, 40.760569]",C628
4489,"[-73.998, 40.745961]",C629
4485,"[-73.980217, 40.792399]",C630
4483,"[-73.90796, 40.736645]",C631
4483,"[-74.00596, 40.745231]",C632
4482,"[-74.007696, 40.747757]",C633
